texto;sentimento
@Tixaa23 14 para eu ir :);Positivo
@drexalvarez O meu like eu já dei na época :);Positivo
Eu só queria conseguir comer alguma coisa pra poder dormir :);Positivo
:D que lindo dia !;Positivo
@Primo_Resmungao Pq da pr jeito!!é uma "oferta", ha q aproveitar. :P;Positivo
@BadWolf_Wagner @DanieVedo Eu entendi, mas isso foi mais porque eu pensei em outra coisa. :P;Positivo
@Chyko661 @g1 [+] Carcinoma Hepatico (Cancer de Figado). Deivison lutou contra a doença por um ano e faleceu ontem a tarde. Espero que minha explicaçao tenha te ajudado. :);Positivo
Aquela mina da limpeza, que tinha um marido com meu problema me adicionou aqui no face, esquisito a princípio mas ah, nega velha e pa, veio perguntar como eu tô :) Ela deve ter tomado as dor, me viu malzao e pá.;Positivo
@narryfools aqui, espero que você melhore logo :) https://t.co/OBiMIrbU9F;Positivo
@fefocaires se és feliz trabalhando nisso então não pare se as pessoas se incomodam com sua opinião é pq elas te dão ouvido e seu trabalho tem um grande alcance :);Positivo
vamos se seguir no insta? se quiser sdv :) #TercaDetremuraSDV;Positivo
@youngsnowblood @thegr8angelica a para vc q é ???? mt obg, eu me sinto até melhor agr :);Positivo
foo :) : 400e84d5-1e93-4d95-8280-2d99fc5bbb12;Positivo
Quando você joga com um youtuber que você segue e nem percebe na hora rs. Hope I've beaten you mr. @Alex_Olney from @nintendolife :P https://t.co/FMnZCneQUa;Positivo
@bebadoetriste é pra fazer torresmo :);Positivo
@Calebe80781696 Vixe q treta novelesca! Que bom a amizade foi forte e vcs estão conectados ainda! :)));Positivo
Aqui lembrando o shade das donzelas. :) A Camila foi perguntanda em uma entrevista e disse que na hora estava em casa e ATÉ chorou vendo isso. https://t.co/HDIPdpaTgM;Positivo
@LelloucheNico Bravo ! :);Positivo
Gostei de um vídeo @YouTube https://t.co/FGEgHwa67q(??LIVE) FORTNITE DA NIGHT :D - LEOZERA - PC;Positivo
Nenhum dos itens são meus. Tô só fazendo aquela divulgação :D SP tem preferência pra entrega em mãos, mas a gente faz uns Sedex aí e tal RT do amor pra chegar no próximo Faker!;Positivo
@tommezequiel10 de nada :);Positivo
@barbaraveronni1 @anacxrvalho @Just_Foxyz. simples ... vou deixa d assistir aquele " ..." p vê essa série... :) adeus :);Positivo
Não estou conseguindo twittar muito pois meu celular está meio bugado e estou totalmente focado na cobertura em português desse TI. As entrevistas e conteúdos extra estão vindo aos poucos ao longo dos dias. :D;Positivo
Alguém me fala como é ser feliz? :) #TercaDetremuraSDV;Positivo
@MongeHan 5x8cm Hollywood mint, mas tem formas diferentes, dependendo da marca, mas é por aí a média :);Positivo
Mpoooos :))))) https://t.co/5tspCEMtSL;Positivo
ia marcar a ceci mas ela me deu softblock :);Positivo
@aclarapinheir0 Delicada demais :D;Positivo
Tu foi obrigado então? — minha essência é a mesma :) https://t.co/gU8NAeK2Jh;Positivo
